@ HyperIMU - ianovir
@ Date:Tue Mar 31 16:34:34 EDT 2026, Sampling Rate:50ms

icm45631_accelerometer.x,icm45631_accelerometer.y,icm45631_accelerometer.z,mmc5616_magnetometer.x,mmc5616_magnetometer.y,mmc5616_magnetometer.z,orientation_sensor.x,orientation_sensor.y,orientation_sensor.z,icm45631_gyroscope.x,icm45631_gyroscope.y,icm45631_gyroscope.z
1.6808044,4.5699325,10.491167,8.662,-10.5286,-17.6656,276.42975,-38.570263,-1.3667291,-0.09719219,-2.2834668,-0.75790256
-0.9258079,3.7860558,7.776517,8.7108,-9.601399,-20.374,281.41296,-37.969723,-1.020643,-0.29480743,0.26288188,-1.0843858
-1.6488568,4.1998787,6.848988,9.9552,-8.5278,-22.6798,283.22473,-37.404957,-3.0163255,0.25613704,-0.26043376,-0.7915101
-2.4149265,4.2127476,6.609044,10.3578,-8.6742,-24.2414,285.38654,-38.261257,-3.214578,0.07452622,-0.26299846,0.0060120597
0.12771569,5.421819,8.169166,10.6505995,-9.0524,-26.4862,285.0289,-38.49893,-2.3678296,0.5474305,0.046614278,0.32913113
-0.9674071,6.8343983,5.8726773,11.5412,-9.4428,-27.767199,284.71295,-40.55061,-2.42606,0.5317259,0.18099464,-0.16858748
-1.4532056,7.5260234,7.329624,12.4562,-9.076799,-29.902199,284.8087,-41.522697,-4.432015,-0.40112594,0.37634495,-0.45759934
-2.3747487,7.8369703,7.948151,13.7616,-9.2476,-32.4276,285.33722,-40.415813,-5.9267673,-0.27517247,0.44267744,-0.45918146
-2.6078842,7.3868604,8.940847,14.884,-8.588799,-34.2698,285.71716,-38.64119,-6.967466,-0.85497814,-0.36367133,0.070829056
-2.0829554,5.49372,9.583765,14.6522,-9.8088,-37.0148,286.3556,-37.024574,-5.4995437,-0.01292343,-0.1949173,0.2834328
-2.6672904,5.709647,8.361899,14.457,-12.2732,-39.5158,285.8434,-36.79766,-4.330497,-0.30380052,-0.35159725,0.3922494
-0.6254852,4.4262805,8.142081,14.518,-13.261399,-41.48,286.14395,-35.701496,-3.4690137,-0.40573907,-0.6268197,0.058355283
-0.92281514,3.5323453,6.2653265,12.9808,-14.4936,-43.065998,287.2514,-34.371933,-2.7952297,-0.27077582,0.34168816,-0.11426244
-1.6353894,4.583325,5.9106107,14.5912,-16.5066,-43.9932,286.4214,-33.85335,-4.1194997,-0.08843224,0.66665584,0.37366366
-1.6798317,5.8028717,6.6295447,15.591599,-19.007599,-44.9204,284.03128,-34.083565,-5.257922,0.14648774,0.77344066,0.37461293
-2.4009354,6.1243677,6.4499044,16.6042,-21.2158,-45.6524,282.27606,-35.353268,-6.8767247,0.5234489,0.66777164,0.2723746
-0.28079498,7.3327665,8.19251,16.1894,-26.2666,-45.079,281.2168,-38.69687,-7.416413,0.24447933,-0.38570443,0.21999808
-0.62578446,8.080281,9.643171,14.9206,-28.1576,-46.103798,282.30576,-38.22403,-7.3286967,-0.5682146,0.25776914,-0.5435335
-2.0202572,6.504896,10.318561,15.554999,-27.254799,-46.2746,283.8369,-34.953606,-8.841396,-1.3082808,-0.6268197,-0.604187
-0.077138186,4.1281276,11.842021,11.760799,-27.254799,-46.3844,286.54385,-32.36405,-6.594619,-0.04499885,-1.5624527,-0.09789165
1.3649943,3.5779848,10.951901,7.4542,-29.7924,-45.3718,288.74432,-33.34398,-3.656087,0.683393,-0.5922961,-0.42748907
-0.3202993,2.6828527,7.8975735,7.198,-31.049,-43.6516,290.7485,-33.010876,-3.444291,0.57865655,0.13681182,-1.1475374
-1.6744448,3.5412488,5.421146,9.0402,-32.3422,-41.3336,292.47995,-33.942276,-6.4820724,0.13494658,0.3787764,-0.62367207
-2.809521,5.7938185,5.9763017,9.6258,-32.452,-39.100998,292.10428,-34.53202,-8.7719965,0.3739468,0.82781565,-0.76378137
-6.579117,6.3722425,7.0774846,11.1142,-32.3422,-36.661,293.39368,-36.774353,-13.5888,0.4902743,-0.29031086,-1.3519973
-4.5132947,3.9566429,8.848371,10.736,-31.6224,-34.6968,295.68417,-37.54065,-14.0954275,0.7152186,-0.42444143,-0.29980358
-3.4002154,5.580884,8.103325,9.6502,-31.268599,-32.1592,293.58218,-40.232903,-14.1495905,0.45473486,0.862156,0.83004725
-2.7563248,5.8767924,6.3863087,8.8206,-31.72,-30.024199,288.4688,-42.159733,-14.681249,0.03019353,0.77720445,1.1667892
-0.822932,6.6463785,9.363274,6.1,-30.060799,-29.8046,284.96472,-42.258263,-12.064902,-0.2658796,-0.012457121,0.90264165
-2.8645875,5.4122424,7.866299,4.4895997,-27.9258,-30.0486,283.85623,-41.01407,-12.33331,-0.6451556,0.08866539,-0.29903752
-2.356867,3.6186862,7.9153056,4.9898,-25.4614,-30.866,285.35434,-34.43671,-14.389697,-0.8113283,0.13517974,-0.09377814
-1.9969887,3.7172973,5.954903,4.9898,-23.1434,-32.3666,283.85107,-33.160027,-15.393885,-0.042767227,0.7420147,0.54283404
-3.352855,5.4391026,4.718074,4.2212,-22.3016,-30.8904,280.47693,-35.063725,-15.7493515,0.5300938,0.58130455,1.0037475
-2.655918,6.2190886,5.7068043,3.2818,-21.045,-31.5492,277.40942,-37.266876,-14.813059,0.35063133,0.10283786,1.2053097
-1.6951696,7.069404,8.822484,1.8299999,-19.886,-31.72,275.02545,-39.277733,-12.419741,0.3710157,0.19601646,0.8942647
-1.7946787,7.6845646,8.250195,2.074,-19.007599,-32.086,273.13446,-40.71737,-12.481823,0.28631392,0.6657232,0.29499063
-1.3300538,7.7022967,7.551237,2.5254,-17.726599,-33.427998,272.94788,-41.91501,-12.58099,0.3702163,-0.35326263,0.28589758
-0.13340193,6.954782,7.166818,2.6596,-17.0068,-35.062798,275.24988,-41.9056,-11.896105,-0.44692418,0.13289817,-1.2026784
-1.7426047,3.9837272,7.487866,4.88,-14.4204,-38.308,279.3134,-38.96778,-13.5699835,-0.8772611,-0.7613333,-0.9775176
-0.119335994,4.830003,9.601646,3.2696,-12.3586,-39.723198,284.95154,-34.44454,-9.971031,-0.7949242,-2.3165581,-0.44111198
-1.5508442,3.2791586,8.688109,-0.3416,-10.736,-42.8098,291.60403,-30.299849,-5.673582,-0.13033345,-1.0327253,-0.6208076
-1.9316719,3.496133,7.750031,-1.1345999,-10.7848,-44.468998,294.2329,-30.297594,-4.6680427,0.4252408,-0.1639577,0.08658365
-2.5085998,4.6621842,7.184775,-1.4762,-11.7852,-44.6886,295.08255,-32.335922,-4.208873,0.90422374,-0.16004403,0.107967265
-1.4817116,6.335806,7.233033,-0.93939996,-13.2492,-45.8964,295.9402,-34.882282,-3.8253882,0.44479248,-0.14334016,0.3835894
-1.4223802,7.549741,9.148619,-0.7442,-13.6396,-48.2388,296.38535,-36.00798,-4.103758,0.13494658,0.50273144,-0.38928503
-3.920281,5.98109,7.156269,1.8055999,-14.7132,-48.9464,297.22116,-36.468155,-6.7085843,0.14388974,0.9503051,0.048213053
-1.3254151,7.051298,9.455525,1.6836,-15.323199,-50.2152,296.40002,-38.15195,-9.184403,0.2081405,-1.0251977,0.9569833
-0.35262102,5.8339963,7.162853,0.5978,-17.5924,-51.8378,296.67606,-38.991386,-6.527785,-0.258352,0.17904612,0.49520385
-0.47278002,5.7510967,9.347487,1.708,-17.5436,-53.3872,297.6394,-37.03935,-6.0050807,-0.62137383,0.011374617,-0.3324952
-1.6063597,4.462792,7.1151185,3.5867999,-18.2634,-55.2538,298.81784,-36.006676,-7.155619,0.043216884,0.3904841,0.37288094
-0.26830024,5.417854,5.153519,4.7702,-20.837599,-56.0834,297.8128,-37.357418,-7.212372,0.66938704,0.47268778,0.71298695
-0.43552026,6.295553,5.7382283,5.612,-24.705,-56.071198,296.8899,-39.352,-6.857227,0.46774158,0.09502718,0.17215142
-0.75379944,6.7016697,7.1614313,6.6612,-28.230799,-56.449398,297.91656,-40.420033,-6.8576775,0.1688706,0.05562404,0.036138974
-0.02558803,8.001198,8.319851,7.5151997,-31.8664,-57.1082,298.8362,-40.879406,-6.7620683,0.15065122,-0.20311102,0.08242018
0.10407296,8.196699,8.266655,6.7588,-35.5508,-57.1936,300.61023,-41.5393,-5.7947707,0.37965906,-0.3239351,0.11051531
0.5977274,6.989947,10.015843,4.88,-40.0282,-56.3274,303.2037,-41.555756,-4.514606,-0.21959838,-0.49763533,-0.5973256
0.40753803,5.2478657,10.787824,5.7462,-40.809,-56.73,307.05698,-40.012627,-5.1918063,-0.47436982,0.08245348,-0.92390865
-1.3866917,4.582278,8.593089,7.4908,-41.980198,-55.1928,310.05292,-37.806286,-7.079195,-0.13764453,0.22965735,-0.47430322
-0.6631191,4.6895676,5.3007627,7.6493998,-45.2742,-53.9118,309.7908,-37.096916,-7.7867455,0.70772433,-0.03980283,0.5489127
0.96621,5.837887,5.185242,4.5383997,-50.1908,-50.227398,308.68216,-39.893383,-5.4717755,0.97645175,-0.94775707,0.34177142
0.76307696,5.877017,5.9644804,2.7572,-54.0826,-46.811398,309.97867,-41.97096,-4.269959,0.32518414,-0.22104728,-0.8560607
-0.90740246,5.8544965,6.143522,4.7336,-56.851997,-44.042,311.00696,-42.607235,-5.909085,0.4645607,0.4210107,-0.7991709
-2.3659203,8.809166,3.5993829,7.2956,-59.7922,-39.9184,309.10672,-46.6523,-8.683009,0.33857387,0.43406737,0.3022184
-2.5818472,10.0442,6.037653,6.954,-63.073997,-38.0396,307.53638,-47.7136,-8.681562,-0.3203878,0.049362175,0.0022149694
-0.81305593,8.386215,8.41285,6.6977997,-64.049995,-36.2096,306.60977,-46.214214,-7.798382,-0.6734673,-0.5424177,0.59659284
-1.3289316,7.638102,7.63481,2.745,-65.5262,-33.916,305.40417,-45.36683,-5.8866854,-0.041001912,-0.26859418,0.24965869
0.14320318,6.287847,8.525303,0.6222,-65.7458,-31.1954,305.16803,-44.321117,-4.481167,-0.36773488,-0.5530595,-0.21685049
-0.17140988,4.692336,6.886547,1.6958,-66.2948,-29.2678,305.87234,-41.93888,-3.4912698,-0.1383773,-0.19496727,-0.34295386
0.54969376,4.8466873,6.5250974,1.7689999,-66.7096,-27.1328,305.09534,-41.85357,-3.7296882,0.25287288,0.38801932,-0.006128637
-1.1508628,5.7640405,4.025102,2.7206,-67.2708,-22.0698,302.6815,-43.416595,-5.9443264,0.41419926,0.97745097,-0.074942574
-2.2899792,7.293262,4.615572,2.9768,-68.137,-18.6782,300.65836,-44.744328,-7.239696,0.42763898,0.0780402,-0.1819106
-1.2974329,7.9454575,6.5568204,3.1232,-69.1618,-14.8108,300.297,-46.88504,-8.107559,-0.13747798,-0.21420252,-0.028428216
-0.7955483,9.478121,8.862661,2.3302,-68.9178,-12.9564,299.51648,-46.13088,-7.3606787,-0.2134198,-0.21685049,0.19608307
1.3094786,8.190041,8.447641,1.8299999,-68.625,-12.078,298.24536,-45.35383,-6.40155,-0.4955869,-0.4248411,-0.08441865
1.3197289,6.1217494,9.263017,2.4522,-68.0028,-11.0898,298.56586,-43.519405,-6.3830605,-0.4919397,-0.35319602,-0.46792477
1.3640217,4.9714103,8.338331,2.9889998,-67.1244,-11.651,299.2777,-39.64344,-3.2837765,-0.5161045,-0.47428656,-0.4695735
-0.7909096,4.349292,6.9546323,5.8194,-66.5022,-12.505,299.81934,-36.20673,-1.1817662,-0.15281624,-0.07807351,-0.16234227
-0.24899697,5.0039563,5.244274,4.6116,-66.6242,-10.37,298.5652,-36.215607,-1.151772,0.1417747,0.2613997,0.35832542
-0.92176765,6.2805896,4.845191,3.8063998,-66.4656,-6.8564,295.85773,-37.296524,-1.37798,0.63119966,0.11784303,0.16762155
-1.282095,7.730578,5.5484877,4.3919997,-66.5754,-4.6238,294.9042,-39.498444,-1.2514242,0.4216269,-0.30994582,-0.33053005
-2.7418098,8.721029,6.620192,5.6974,-66.233795,-2.7572,295.05643,-42.90266,-3.4100754,0.005812213,0.28458193,-0.431053
-3.0631566,9.086893,7.19308,7.5762,-66.4168,-1.1956,293.60733,-43.01627,-4.241099,0.10623526,0.13056661,0.15411523
-0.9886557,9.03669,7.752575,5.0629997,-66.734,0.0488,291.01443,-43.132275,-3.6520696,-0.51222414,-0.61101514,0.7478936
-0.9305963,7.0673094,10.28781,3.1598,-66.843796,-0.3416,289.77533,-41.743183,-0.9347853,-0.018319296,-0.2524732,0.10437002
-0.05484218,6.145916,7.0510736,3.5746,-66.5632,1.0248,287.64853,-41.749256,-0.3185941,-0.037804365,0.016737174,0.5492458
0.48168346,5.432668,6.8563204,2.3912,-65.941,2.2082,286.2461,-41.342007,0.9693593,-0.18594085,-0.41534838,-0.2809014
-0.6900538,4.3041763,5.687351,3.0133998,-65.5384,2.5132,285.97897,-41.169247,0.1888414,0.15844525,0.4888254,-0.11614433
0.19684827,5.5493107,5.326949,2.013,-65.2212,5.7339997,282.69736,-42.823536,-0.59927124,1.0438001,0.37752736,0.41226742
-0.9166052,7.4533744,5.103615,2.3668,-63.4156,10.8336,281.1668,-46.10526,-0.67381877,0.7619994,-0.25368893,-0.2997703
-0.43312606,7.353566,8.296208,4.2943997,-62.5128,12.7123995,281.66565,-47.44324,-1.0022498,0.08749962,-0.3933819,-0.53094316
