@ HyperIMU - ianovir
@ Date:Tue Mar 31 16:32:08 EDT 2026, Sampling Rate:5ms

icm45631_accelerometer.x,icm45631_accelerometer.y,icm45631_accelerometer.z,mmc5616_magnetometer.x,mmc5616_magnetometer.y,mmc5616_magnetometer.z,orientation_sensor.x,orientation_sensor.y,orientation_sensor.z,icm45631_gyroscope.x,icm45631_gyroscope.y,icm45631_gyroscope.z
-1.9371337,7.7481604,6.8306575,-0.56119996,-29.048199,1.8665999,165.496,-57.355827,-9.086039,0.6243715,-0.66364145,-0.5670988
-1.9371337,7.7481604,6.8306575,-0.56119996,-29.048199,1.8665999,165.496,-57.355827,-9.086039,0.6243715,-0.66364145,-0.5670988
-1.9371337,7.7481604,6.8306575,-0.56119996,-29.048199,1.8665999,165.496,-57.355827,-9.086039,0.6243715,-0.66364145,-0.5670988
-2.1527615,6.7376575,6.315455,1.2932,-29.9144,2.3424,168.07372,-57.489754,-10.131864,-0.22506087,-0.36776817,-0.5971424
-2.5305216,6.2731824,6.761001,1.9886,-29.89,2.2447999,168.642,-57.03162,-10.444277,-0.07774043,-0.3181229,-0.49203962
-2.7973254,6.222979,6.5268183,2.0008,-29.8046,2.0496,169.1339,-56.729324,-10.709299,0.03663859,-0.31987154,-0.37398008
-2.965144,6.3090954,6.192977,1.5128,-29.548399,2.257,169.41425,-56.662853,-10.807865,0.10541922,-0.35234666,-0.271875
-3.0615106,6.470704,5.825018,2.0983999,-29.865599,2.5376,169.67502,-56.65459,-10.839629,0.13767783,-0.39726225,-0.16372454
-2.7246764,6.6890254,5.4179287,1.9031999,-29.6948,2.6352,170.0429,-56.6914,-10.750636,0.12508748,-0.53400743,-0.006628254
-2.4271219,6.7522473,5.305925,1.9031999,-29.6948,2.6352,170.30014,-56.71441,-10.599371,0.0923126,-0.61497873,0.026712863
-2.0573676,6.8230257,5.2793646,1.9886,-29.865599,2.7328,170.44228,-56.71658,-10.500857,0.03685509,-0.7088235,0.040452335
