epoch	mean_loss	lr
69	0.218889	8.256952e-05
70	0.225230	8.189934e-05
71	0.216547	8.121935e-05
72	0.230079	8.052976e-05
73	0.228179	7.983079e-05
74	0.226353	7.912265e-05
75	0.223232	7.840555e-05
76	0.217819	7.767972e-05
77	0.218138	7.694538e-05
78	0.228938	7.620275e-05
79	0.222767	7.545207e-05
80	0.229856	7.469356e-05
81	0.222286	7.392747e-05
82	0.222460	7.315401e-05
83	0.223644	7.237344e-05
84	0.223155	7.158598e-05
85	0.220776	7.079189e-05
86	0.224596	6.999141e-05
87	0.217424	6.918478e-05
88	0.226828	6.837226e-05
89	0.218414	6.755408e-05
90	0.225744	6.673051e-05
91	0.226195	6.590180e-05
92	0.220155	6.506819e-05
93	0.231562	6.422995e-05
94	0.223653	6.338734e-05
95	0.220222	6.254061e-05
96	0.228355	6.169003e-05
97	0.224451	6.083585e-05
98	0.218702	5.997834e-05
99	0.222364	5.911776e-05
100	0.217107	5.825438e-05
101	0.228374	5.738846e-05
102	0.224454	5.652027e-05
103	0.219558	5.565008e-05
104	0.220046	5.477815e-05
105	0.221505	5.390475e-05
106	0.214946	5.303014e-05
107	0.219718	5.215461e-05
108	0.214752	5.127842e-05
109	0.216204	5.040183e-05
110	0.211461	4.952512e-05
111	0.213786	4.864855e-05
112	0.213256	4.777240e-05
113	0.226310	4.689693e-05
114	0.215787	4.602242e-05
115	0.226191	4.514913e-05
116	0.217098	4.427734e-05
117	0.213847	4.340730e-05
118	0.216980	4.253929e-05
119	0.216853	4.167357e-05
120	0.223263	4.081041e-05
121	0.221619	3.995008e-05
122	0.214309	3.909284e-05
123	0.217571	3.823895e-05
124	0.215979	3.738868e-05
125	0.227866	3.654228e-05
126	0.213256	3.570002e-05
127	0.209781	3.486216e-05
128	0.216131	3.402896e-05
129	0.219044	3.320066e-05
130	0.234473	3.237753e-05
131	0.216704	3.155981e-05
132	0.213127	3.074777e-05
133	0.219405	2.994164e-05
134	0.215390	2.914168e-05
135	0.203875	2.834814e-05
136	0.218187	2.756125e-05
137	0.221750	2.678126e-05
138	0.220016	2.600841e-05
139	0.222003	2.524293e-05
140	0.220906	2.448507e-05
141	0.221738	2.373505e-05
142	0.215479	2.299311e-05
143	0.220982	2.225947e-05
144	0.218299	2.153436e-05
145	0.213021	2.081800e-05
146	0.214968	2.011061e-05
147	0.220680	1.941241e-05
148	0.229981	1.872361e-05
149	0.216425	1.804444e-05
150	0.214784	1.737508e-05
151	0.214205	1.671576e-05
152	0.214366	1.606667e-05
153	0.212828	1.542801e-05
154	0.209090	1.479998e-05
155	0.208748	1.418278e-05
156	0.223308	1.357658e-05
157	0.215298	1.298159e-05
158	0.209283	1.239798e-05
159	0.220144	1.182592e-05
160	0.217013	1.126561e-05
161	0.213598	1.071720e-05
162	0.214689	1.018087e-05
163	0.217043	9.656779e-06
164	0.216368	9.145095e-06
165	0.216997	8.645971e-06
166	0.225507	8.159562e-06
167	0.212736	7.686016e-06
168	0.207484	7.225480e-06
169	0.225822	6.778095e-06
170	0.221238	6.343999e-06
171	0.217802	5.923324e-06
172	0.212015	5.516201e-06
173	0.215535	5.122755e-06
174	0.216593	4.743106e-06
175	0.211687	4.377371e-06
176	0.223118	4.025663e-06
177	0.212711	3.688089e-06
178	0.211386	3.364755e-06
179	0.213725	3.055758e-06
180	0.213332	2.761194e-06
181	0.215227	2.481154e-06
182	0.221776	2.215723e-06
183	0.221061	1.964984e-06
184	0.209180	1.729013e-06
185	0.212106	1.507883e-06
186	0.218462	1.301662e-06
187	0.208109	1.110413e-06
188	0.216497	9.341950e-07
189	0.212450	7.730625e-07
190	0.210611	6.270648e-07
191	0.207098	4.962468e-07
192	0.212587	3.806488e-07
193	0.213404	2.803062e-07
194	0.222119	1.952499e-07
195	0.210090	1.255060e-07
196	0.213398	7.109607e-08
197	0.217879	3.203676e-08
198	0.208971	8.340091e-09
199	0.229191	1.334452e-11
